time;reference;observation
 24.079123;5000.000000;5013.000000
 24.084124;5000.000000;5001.000000
 24.089125;5000.000000;4992.000000
 24.094122;5000.000000;5004.000000
 24.099125;5000.000000;5016.000000
 24.104122;5000.000000;5000.000000
 24.109123;5000.000000;4991.000000
 24.114122;5000.000000;5004.000000
 24.119122;5000.000000;5012.000000
 24.124125;5000.000000;5001.000000
 24.129124;5000.000000;4992.000000
 24.134123;5000.000000;5006.000000
 24.139122;5000.000000;5011.000000
 24.144121;5000.000000;5001.000000
 24.149128;5000.000000;4992.000000
 24.154127;5000.000000;4993.000000
 24.159119;5000.000000;5006.000000
 24.164474;5000.000000;5001.000000
 24.169123;5000.000000;5001.000000
 24.174128;5000.000000;4990.000000
 24.179125;5000.000000;5003.000000
 24.184122;5000.000000;5011.000000
 24.189121;5000.000000;4999.000000
 24.194122;5000.000000;5011.000000
 24.199127;5000.000000;4989.000000
 24.204124;5000.000000;4989.000000
 24.209122;5000.000000;5004.000000
 24.214123;5000.000000;5011.000000
 24.219122;5000.000000;5001.000000
 24.224127;5000.000000;4993.000000
 24.229120;5000.000000;5004.000000
 24.234121;5000.000000;5010.000000
 24.239120;5000.000000;5002.000000
 24.244122;5000.000000;4995.000000
 24.249126;5000.000000;4986.000000
 24.254124;5000.000000;5015.000000
 24.259117;5000.000000;5001.000000
 24.264124;5000.000000;5008.000000
 24.269121;5000.000000;5000.000000
 24.274126;4500.000000;4993.000000
 24.279121;4500.000000;4927.000000
 24.284122;4500.000000;4854.000000
 24.289122;4500.000000;4734.000000
 24.294125;4500.000000;4618.000000
 24.299124;4500.000000;4521.000000
 24.304125;4500.000000;4493.000000
 24.309118;4500.000000;4479.000000
 24.314123;4500.000000;4466.000000
 24.319120;4500.000000;4444.000000
 24.324123;4500.000000;4461.000000
 24.329121;4500.000000;4464.000000
 24.334148;4500.000000;4462.000000
 24.339123;4500.000000;4446.000000
 24.344122;4500.000000;4461.000000
 24.349121;4500.000000;4462.000000
 24.354130;4500.000000;4446.000000
 24.359121;4500.000000;4462.000000
 24.364122;4500.000000;4465.000000
 24.369118;4500.000000;4465.000000
 24.374125;4500.000000;4466.000000
 24.379126;4500.000000;4463.000000
 24.384125;4500.000000;4466.000000
 24.389124;4500.000000;4465.000000
 24.394121;4500.000000;4464.000000
 24.399120;4500.000000;4467.000000
 24.404131;4500.000000;4464.000000
 24.409134;4500.000000;4467.000000
 24.414124;4500.000000;4467.000000
 24.419121;4500.000000;4465.000000
 24.424126;4500.000000;4467.000000
 24.429127;4500.000000;4466.000000
 24.434126;4500.000000;4466.000000
 24.439123;4500.000000;4477.000000
 24.444120;4500.000000;4469.000000
 24.449123;4500.000000;4492.000000
 24.454126;4500.000000;4481.000000
 24.459120;4500.000000;4469.000000
 24.464125;4500.000000;4466.000000
 24.469124;4500.000000;4477.000000
 24.474125;4500.000000;4470.000000
 24.479124;4500.000000;4482.000000
 24.484123;4500.000000;4474.000000
 24.489126;4500.000000;4468.000000
 24.494127;4500.000000;4488.000000
 24.499125;4500.000000;4470.000000
 24.504126;4500.000000;4483.000000
 24.509125;4500.000000;4471.000000
 24.514122;4500.000000;4479.000000
 24.519119;4500.000000;4485.000000
 24.524124;4500.000000;4476.000000
 24.529121;4500.000000;4469.000000
 24.534124;4500.000000;4479.000000
 24.539122;4500.000000;4485.000000
 24.544123;4500.000000;4477.000000
 24.549124;4500.000000;4487.000000
 24.554127;4500.000000;4485.000000
 24.559126;4500.000000;4483.000000
 24.564121;4500.000000;4493.000000
 24.569126;4500.000000;4479.000000
 24.574127;4500.000000;4490.000000
 24.579119;4500.000000;4472.000000
 24.584127;4500.000000;4485.000000
 24.589125;4500.000000;4498.000000
 24.594122;4500.000000;4473.000000
 24.599125;4500.000000;4495.000000
 24.604124;4500.000000;4481.000000
 24.609121;4500.000000;4496.000000
 24.614124;4500.000000;4507.000000
 24.619122;4500.000000;4476.000000
 24.624126;4500.000000;4495.000000
 24.629122;4500.000000;4488.000000
 24.634125;4500.000000;4471.000000
 24.639122;4500.000000;4495.000000
 24.644121;4500.000000;4480.000000
 24.649124;4500.000000;4485.000000
 24.654123;4500.000000;4500.000000
 24.659124;4500.000000;4493.000000
 24.664122;4500.000000;4490.000000
 24.669125;4500.000000;4503.000000
 24.674122;4500.000000;4477.000000
 24.679117;4500.000000;4497.000000
 24.684126;4500.000000;4480.000000
 24.689121;4500.000000;4485.000000
 24.694122;4500.000000;4491.000000
 24.699123;4500.000000;4484.000000
 24.704123;4500.000000;4491.000000
 24.709122;4500.000000;4490.000000
 24.714125;4500.000000;4497.000000
 24.719122;4500.000000;4494.000000
 24.724125;4500.000000;4499.000000
 24.729120;4500.000000;4504.000000
 24.734123;4500.000000;4502.000000
 24.739122;4500.000000;4491.000000
 24.744122;4500.000000;4484.000000
 24.749125;4500.000000;4485.000000
 24.754122;4500.000000;4491.000000
 24.759117;4500.000000;4503.000000
 24.764128;4500.000000;4502.000000
 24.769121;4500.000000;4491.000000
 24.774122;4500.000000;4499.000000
 24.779119;4000.000000;4503.000000
 24.784122;4000.000000;4407.000000
 24.789125;4000.000000;4364.000000
 24.794125;4000.000000;4211.000000
 24.799122;4000.000000;4095.000000
 24.804125;4000.000000;4030.000000
 24.809122;4000.000000;3995.000000
 24.814125;4000.000000;3963.000000
 24.819120;4000.000000;3958.000000
 24.824125;4000.000000;3982.000000
 24.829121;4000.000000;3934.000000
 24.834122;4000.000000;3934.000000
 24.839125;4000.000000;3959.000000
 24.844122;4000.000000;3956.000000
 24.849125;4000.000000;3958.000000
 24.854122;4000.000000;3956.000000
 24.859121;4000.000000;3957.000000
 24.864124;4000.000000;3966.000000
 24.869122;4000.000000;3958.000000
